Language,Value,Cognateset,Source
Arara,jei,*jəje,alves2010arara[34]
Ikpeng,jaj,*jəje,ikpengpacheco2001[263]
Bakairi,e,*jəje,meira2005southern[180]
Ye'kwana,ree,*jəje,hall2015dictionary
Ingarikó,jɨi,*jəje,cruz2005fonologia[288]
Pemón,jəi,*jəje,swiggers2010gramatica[87]
Macushi,jei,*jəje,abbott2015dictionary
Panare,ije,*jəje,mattei1994diccionario[289]
Tamanaku,jeje,*jəje,gilij1782saggio[165]
Yawarana,jəəje,*jəje,mattei2003pemono[39]
Mapoyo,jəhe,*jəje,muller1975mapoyo[66]
Kuikuro,i,*jəje,meira2005southern[180]
Werikyana,wewe,*wewe,schuring2018kaxuyana[186]
Hixkaryána,wewe,*wewe,hixkaryanaderby1979[198]
Waiwai,weewe,*wewe,hawkins2015dictionary
Tiriyó,wewe,*wewe,meira2005southern[180]
Akuriyó,wewe,*wewe,meira1998proto[187]
Karijona,wewe,*wewe,koch1908hiana[58]
Wayana,wewe,*wewe,hough2008space[35]
Apalaí,wewe,*wewe,camargo2002lexico[96]
Kari'ña,wewe,*wewe,courtz2008carib[427]
Yukpa,we,*wewe,meira2005southern[180]
Waimiri-Atroari,wiwe,*wewe,waimiribruno2003[148]
Akawaio,jɨi,*jəje,stegeman2014akawaio[200]
Werikyana,hi,*pitupə,schuring2018kaxuyana[52]
Hixkaryána,hut͡ʃhu,*pitupə,hixkaryanaderby1979[197]
Waiwai,ɸit͡ʃho,*pitupə,hawkins2015dictionary
Arara,iput,*pitupə,alves2010arara[21]
Ikpeng,pitu,*pitupə,ikpengpacheco2001[107]
Bakairi,tubɨ,*pitupə,meira2005southern[180]
Tiriyó,pihpə,*pitupə,meira2005southern[181]
Akuriyó,pihpə,*pitupə,meira1998proto[184]
Karijona,hitihə,*pitupə,robayo2000avance[179]
Wayana,pitpə,*pitupə,camargo2010wayana[109]
Apalaí,piʔpo,*pitupə,koehn1995apalai[41]
Kari'ña,piʔpo,*pitupə,courtz2008carib[344]
Ye'kwana,hiʔhə,*pitupə,hall2015dictionary
Ingarikó,piʔpɨ,*pitupə,cruz2005fonologia[404]
Pemón,piʔpə,*pitupə,swiggers2010gramatica[244]
Macushi,piʔpɨ,*pitupə,abbott2015dictionary
Panare,pihpə,*pitupə,mattei1994diccionario[378]
Tamanaku,pitpe,*pitupə,gilij1782saggio[379]
Yawarana,pihpə,*pitupə,mendez1959yawarana[66]
Mapoyo,piʔpə,*pitupə,muller1975mapoyo[61]
Kuikuro,hiɟo,*pitupə,meira2005southern[181]
Waimiri-Atroari,biʃi,*pitupə,waimiribruno2003[39]
Akawaio,piʔpə,*pitupə,stegeman2014akawaio[192]
Werikyana,hunu,*punu,pc[Spike Gildea]
Hixkaryána,hun,*punu,hixkaryanaderby1979[199]
Waiwai,ɸun,*punu,waiwaihawkins1998[48]
Arara,munu,*punu,alves2017arara[51]
Ikpeng,mnu,*punu,meira2005southern[181]
Bakairi,ũrũ,*punu,meira2005southern[181]
Tiriyó,pun,*punu,meira2005southern[181]
Akuriyó,puunu,*punu,meira1998proto[171]
Karijona,bunu,*punu,koch1908hiana[20]
Wayana,punu,*punu,wayanatavares2005[159]
Apalaí,pu,*punu,camargo2002lexico[108]
Kari'ña,pun,*punu,courtz2008carib[352]
Ye'kwana,hunu,*punu,maquiritaricaceres2011[442]
Ingarikó,pun,*punu,cruz2005fonologia[63]
Pemón,pun,*punu,garcia2006diccionario[121]
Macushi,pun,*punu,macushiabbott1991[62]
Panare,-pu,*punu,mattei1994diccionario[302]
Tamanaku,punu,*punu,gilij1782saggio[386]
Yawarana,puunu,*punu,mendez1959yawarana[67]
Mapoyo,punu,*punu,muller1975mapoyo[61]
Kuikuro,huŋu,*punu,meira2005southern[181]
Yukpa,pu,*punu,meira2005southern[181]
Waimiri-Atroari,pɨnɨ,*punu,waimiribruno2003[78]
Akawaio,pun,*punu,stegeman2014akawaio[167]
Werikyana,jot͡ʃpɨ,*jətɨpə,pc[Spike Gildea]
Hixkaryána,jot͡ʃhɨ,*jətɨpə,hixkaryanaderby1979[194]
Waiwai,jot͡ʃho,*jətɨpə,hawkins2015dictionary
Arara,itpɨ,*jətɨpə,desouza2010arara[43]
Ikpeng,itpɨn,*jətɨpə,ikpengpacheco2001[278]
Bakairi,ibɨrɨ,*jətɨpə,meira2005southern[181]
Tiriyó,jetɨpə,*jətɨpə,meira2005southern[181]
Akuriyó,jeʔpə,*jətɨpə,meira1998proto[166]
Karijona,ijetihɨ,*jətɨpə,huber1992vocabulario[32]
Wayana,jetpə,*jətɨpə,camargo2010wayana[63]
Apalaí,zeʔpo,*jətɨpə,koehn1995apalai[58]
Kari'ña,jeʔpo,*jətɨpə,courtz2008carib[285]
Ye'kwana,jeeʔhə,*jətɨpə,hall2015dictionary
Ingarikó,əʔpɨ,*jətɨpə,cruz2005fonologia[76]
Pemón,jeʔpə,*jətɨpə,swiggers2010gramatica[157]
Macushi,jeʔpɨ,*jətɨpə,abbott2015dictionary
Panare,jəhpə,*jətɨpə,mattei1994diccionario[344]
Tamanaku,jetpe,*jətɨpə,gilij1782saggio[386]
Yawarana,jəspə,*jətɨpə,mendez1959yawarana[65]
Mapoyo,jəʔpə,*jətɨpə,muller1975mapoyo[61]
Kuikuro,ipɨɣɨ,*jətɨpə,meira2005southern[181]
Yukpa,jopo,*jətɨpə,meira2005southern[181]
Waimiri-Atroari,jɨhɨ,*jətɨpə,bruno1996dictionary[14]
Akawaio,əʔpɨ,*jətɨpə,stegeman2014akawaio[156]
