"Noun","Form","Case","Number"
"aestus","ajstus","NOM","SG"
"aestus","ajstuːs","GEN","SG"
"aestus","ajstuiː","DAT","SG"
"aestus","ajstum","ACC","SG"
"aestus","ajstus","VOC","SG"
"aestus","ajstuː","ABL","SG"
"aestus","ajstuːs","NOM","PL"
"aestus","ajstuum","GEN","PL"
"aestus","ajstibus","DAT","PL"
"aestus","ajstuːs","ACC","PL"
"aestus","ajstuːs","VOC","PL"
"aestus","ajstibus","ABL","PL"
"aqua","akwa","NOM","SG"
"aqua","akwaj","GEN","SG"
"aqua","akwaj","DAT","SG"
"aqua","akwam","ACC","SG"
"aqua","akwa","VOC","SG"
"aqua","akwaː","ABL","SG"
"aqua","akwaj","NOM","PL"
"aqua","akwaːrum","GEN","PL"
"aqua","akwiːs","DAT","PL"
"aqua","akwaːs","ACC","PL"
"aqua","akwaj","VOC","PL"
"aqua","akwiːs","ABL","PL"
"uxor","uksor","NOM","SG"
"uxor","uksoːris","GEN","SG"
"uxor","uksoːriː","DAT","SG"
"uxor","uksoːrem","ACC","SG"
"uxor","uksor","VOC","SG"
"uxor","uksoːre","ABL","SG"
"uxor","uksoːreːs","NOM","PL"
"uxor","uksoːrum","GEN","PL"
"uxor","uksoːribus","DAT","PL"
"uxor","uksoːreːs","ACC","PL"
"uxor","uksoːreːs","VOC","PL"
"uxor","uksoːribus","ABL","PL"
