"Form","Person","Number","Tense","Verb","Mood"
"portoː",1,"SG","PRS","portaːre","IND"
"portaːs",2,"SG","PRS","portaːre","IND"
"portat",3,"SG","PRS","portaːre","IND"
"portaːmus",1,"PL","PRS","portaːre","IND"
"portaːtis",2,"PL","PRS","portaːre","IND"
"portant",3,"PL","PRS","portaːre","IND"
"terːeoː",1,"SG","PRS","terːeːre","IND"
"terːeːs",2,"SG","PRS","terːeːre","IND"
"terːet",3,"SG","PRS","terːeːre","IND"
"terːeːmus",1,"PL","PRS","terːeːre","IND"
"terːeːtis",2,"PL","PRS","terːeːre","IND"
"terːent",3,"PL","PRS","terːeːre","IND"
"portaːbam",1,"SG","PST.IPFV","portaːre","IND"
"portaːbaːs",2,"SG","PST.IPFV","portaːre","IND"
"portaːbat",3,"SG","PST.IPFV","portaːre","IND"
"portaːbaːmus",1,"PL","PST.IPFV","portaːre","IND"
"portaːbaːtis",2,"PL","PST.IPFV","portaːre","IND"
"portaːbant",3,"PL","PST.IPFV","portaːre","IND"
"terːeːbam",1,"SG","PST.IPFV","terːeːre","IND"
"terːeːbaːs",2,"SG","PST.IPFV","terːeːre","IND"
"terːeːbat",3,"SG","PST.IPFV","terːeːre","IND"
"terːeːbaːmus",1,"PL","PST.IPFV","terːeːre","IND"
"terːeːbaːtis",2,"PL","PST.IPFV","terːeːre","IND"
"terːeːbant",3,"PL","PST.IPFV","terːeːre","IND"
"portaːboː",1,"SG","FUT","portaːre","IND"
"portaːbis",2,"SG","FUT","portaːre","IND"
"portaːbit",3,"SG","FUT","portaːre","IND"
"portaːbimus",1,"PL","FUT","portaːre","IND"
"portaːbitis",2,"PL","FUT","portaːre","IND"
"portaːbunt",3,"PL","FUT","portaːre","IND"
"terːeːboː",1,"SG","FUT","terːeːre","IND"
"terːeːbis",2,"SG","FUT","terːeːre","IND"
"terːeːbit",3,"SG","FUT","terːeːre","IND"
"terːeːbimus",1,"PL","FUT","terːeːre","IND"
"terːeːbitis",2,"PL","FUT","terːeːre","IND"
"terːeːbunt",3,"PL","FUT","terːeːre","IND"
"petoː",1,"SG","PRS","petere","IND"
"petis",2,"SG","PRS","petere","IND"
"petit",3,"SG","PRS","petere","IND"
"petimus",1,"PL","PRS","petere","IND"
"petitis",2,"PL","PRS","petere","IND"
"petunt",3,"PL","PRS","petere","IND"
"peteːbam",1,"SG","PST.IPFV","petere","IND"
"peteːbas",2,"SG","PST.IPFV","petere","IND"
"peteːbat",3,"SG","PST.IPFV","petere","IND"
"peteːbaːmus",1,"PL","PST.IPFV","petere","IND"
"peteːbaːtis",2,"PL","PST.IPFV","petere","IND"
"peteːbant",3,"PL","PST.IPFV","petere","IND"
"petam",1,"SG","FUT","petere","IND"
"peteːs",2,"SG","FUT","petere","IND"
"petet",3,"SG","FUT","petere","IND"
"peteːmus",1,"PL","FUT","petere","IND"
"peteːtis",2,"PL","FUT","petere","IND"
"petent",3,"PL","FUT","petere","IND"
"portem",1,"SG","PRS","portaːre","SUBJ"
"porteːs",2,"SG","PRS","portaːre","SUBJ"
"portet",3,"SG","PRS","portaːre","SUBJ"
"porteːmus",1,"PL","PRS","portaːre","SUBJ"
"porteːtis",2,"PL","PRS","portaːre","SUBJ"
"portent",3,"PL","PRS","portaːre","SUBJ"
"terːream",1,"SG","PRS","terːeːre","SUBJ"
"terːeaːs",2,"SG","PRS","terːeːre","SUBJ"
"terːeat",3,"SG","PRS","terːeːre","SUBJ"
"terːeaːmus",1,"PL","PRS","terːeːre","SUBJ"
"terːeaːtis",2,"PL","PRS","terːeːre","SUBJ"
"terːeant",3,"PL","PRS","terːeːre","SUBJ"
"portaːrem",1,"SG","PST.IPFV","portaːre","SUBJ"
"portaːreːs",2,"SG","PST.IPFV","portaːre","SUBJ"
"portaːret",3,"SG","PST.IPFV","portaːre","SUBJ"
"portaːreːmus",1,"PL","PST.IPFV","portaːre","SUBJ"
"portaːreːtis",2,"PL","PST.IPFV","portaːre","SUBJ"
"portaːrent",3,"PL","PST.IPFV","portaːre","SUBJ"
"terːeːrem",1,"SG","PST.IPFV","terːeːre","SUBJ"
"terːeːres",2,"SG","PST.IPFV","terːeːre","SUBJ"
"terːeret",3,"SG","PST.IPFV","terːeːre","SUBJ"
"terːeːreːmus",1,"PL","PST.IPFV","terːeːre","SUBJ"
"terːeːreːtis",2,"PL","PST.IPFV","terːeːre","SUBJ"
"terːeːrent",3,"PL","PST.IPFV","terːeːre","SUBJ"
"petam",1,"SG","PRS","petere","SUBJ"
"petaːs",2,"SG","PRS","petere","SUBJ"
"petat",3,"SG","PRS","petere","SUBJ"
"petaːmus",1,"PL","PRS","petere","SUBJ"
"petaːtis",2,"PL","PRS","petere","SUBJ"
"petant",3,"PL","PRS","petere","SUBJ"
"peteːbar",1,"SG","PST.IPFV","petere","SUBJ"
"peteːbaːris; peteːbaːre",2,"SG","PST.IPFV","petere","SUBJ"
"peteːbaːtur",3,"SG","PST.IPFV","petere","SUBJ"
"peteːbaːmus",1,"PL","PST.IPFV","petere","SUBJ"
"peteːbaːminiː",2,"PL","PST.IPFV","petere","SUBJ"
"peteːbaːtur",3,"PL","PST.IPFV","petere","SUBJ"
