"Verb","Form","Tense","Person","Number","Mood"
"ma","ngamam","NFUT",1,"SG","RLS"
"ma","nam","NFUT",2,"SG","RLS"
"ma","mam","NFUT",3,"SG","RLS"
"ma","thamam","NFUT","1+2","SG","RLS"
"ma","ngamam","NFUT",1,"PL","RLS"
"ma","namam","NFUT",2,"PL","RLS"
"ma","pamam","NFUT",3,"PL","RLS"
"ma","ngama","NFUT",1,"SG","IRR"
"ma","thama","NFUT",2,"SG","IRR"
"ma","kama","NFUT",3,"SG","IRR"
"ma","pama","NFUT","1+2","SG","IRR"
"ma","nguyema","NFUT",1,"PAUC","IRR"
"ma","nuyema","NFUT",2,"PAUC","IRR"
"ma","kuyema","NFUT",3,"PAUC","IRR"
"ma","nguyema","NFUT",1,"PL","IRR"
"ma","nuyema","NFUT",2,"PL","IRR"
"ma","kuyema","NFUT",3,"PL","IRR"
"ma","me","PST",1,"SG","RLS"
"ma","ne","PST",2,"SG","RLS"
"ma","me","PST",3,"SG","RLS"
"ma","thume","PST","1+2","SG","RLS"
"ma","ngume","PST",1,"PAUC","RLS"
"ma","nume","PST",2,"PAUC","RLS"
"ma","pume","PST",3,"PAUC","RLS"
"ma","ngume","PST",1,"PL","RLS"
"ma","nume","PST",2,"PL","RLS"
"ma","pume","PST",3,"PL","RLS"
"ma","ngimi","PST",1,"SG","IRR"
"ma","ni","PST",2,"SG","IRR"
"ma","mi","PST",3,"SG","IRR"
"ma","thumi","PST","1+2","SG","IRR"
"ma","ngumi","PST",1,"PAUC","IRR"
"ma","numi","PST",2,"PAUC","IRR"
"ma","pumi","PST",3,"PAUC","IRR"
"ma","ngumi","PST",1,"PL","IRR"
"ma","numi","PST",2,"PL","IRR"
"ma","pumi","PST",3,"PL","IRR"
"rru","ngurran","NFUT",1,"SG","RLS"
"rru","thurran","NFUT",2,"SG","RLS"
"rru","wurran","NFUT",3,"SG","RLS"
"rru","thurran","NFUT","1+2","SG","RLS"
"rru","ngumpan","NFUT",1,"PL","RLS"
"rru","numpan","NFUT",2,"PL","RLS"
"rru","pumpan","NFUT",3,"PL","RLS"
"rru","ngurru","NFUT",1,"SG","IRR"
"rru","thurru","NFUT",2,"SG","IRR"
"rru","kurru","NFUT",3,"SG","IRR"
"rru","purru","NFUT","1+2","SG","IRR"
"rru","nga","NFUT",1,"PAUC","IRR"
"rru","na","NFUT",2,"PAUC","IRR"
"rru","ka","NFUT",3,"PAUC","IRR"
"rru","nguru","NFUT",1,"PL","IRR"
"rru","nuru","NFUT",2,"PL","IRR"
"rru","kuru","NFUT",3,"PL","IRR"
"rru","ngurrini","PST",1,"SG","RLS"
"rru","thurrini","PST",2,"SG","RLS"
"rru","wurrini","PST",3,"SG","RLS"
"rru","thurrini","PST","1+2","SG","RLS"
"rru","ngurne","PST",1,"PAUC","RLS"
"rru","nurne","PST",2,"PAUC","RLS"
"rru","purne","PST",3,"PAUC","RLS"
"rru","ngurni","PST",1,"PL","RLS"
"rru","nurni","PST",2,"PL","RLS"
"rru","purni","PST",3,"PL","RLS"
"rru","ngurri","PST",1,"SG","IRR"
"rru","thurri","PST",2,"SG","IRR"
"rru","wurri","PST",3,"SG","IRR"
"rru","thurri","PST","1+2","SG","IRR"
"rru","nguye","PST",1,"PAUC","IRR"
"rru","nuye","PST",2,"PAUC","IRR"
"rru","puye","PST",3,"PAUC","IRR"
"rru","nguyi","PST",1,"PL","IRR"
"rru","nuyi","PST",2,"PL","IRR"
"rru","puyi","PST",3,"PL","IRR"
"nu","ngunungam","NFUT",1,"SG","RLS"
"nu","thunungam","NFUT",2,"SG","RLS"
"nu","nungam","NFUT",3,"SG","RLS"
"nu","thunungam","NFUT","1+2","SG","RLS"
"nu","ngunnungam","NFUT",1,"PL","RLS"
"nu","nunnungam","NFUT",2,"PL","RLS"
"nu","punnungam","NFUT",3,"PL","RLS"
"nu","ngunu","NFUT",1,"SG","IRR"
"nu","thunu","NFUT",2,"SG","IRR"
"nu","kunu","NFUT",3,"SG","IRR"
"nu","punu","NFUT","1+2","SG","IRR"
"nu","ngunna","NFUT",1,"PAUC","IRR"
"nu","nunna","NFUT",2,"PAUC","IRR"
"nu","kunna","NFUT",3,"PAUC","IRR"
"nu","ngunnu","NFUT",1,"PL","IRR"
"nu","nunnu","NFUT",2,"PL","IRR"
"nu","kunnu","NFUT",3,"PL","IRR"
"nu","nguna","PST",1,"SG","RLS"
"nu","thuna","PST",2,"SG","RLS"
"nu","na","PST",3,"SG","RLS"
"nu","thuna","PST","1+2","SG","RLS"
"nu","ngunna","PST",1,"PAUC","RLS"
"nu","nunna","PST",2,"PAUC","RLS"
"nu","punna","PST",3,"PAUC","RLS"
"nu","ngunni","PST",1,"PL","RLS"
"nu","nunni","PST",2,"PL","RLS"
