Person: 1

portaːre,IND,SUBJ
PRS:SG,portoː,portem
PRS:PL,portaːmus,porteːmus
PST.IPFV:SG,portaːbam,portaːrem
PST.IPFV:PL,portaːbaːmus,portaːreːmus
FUT:SG,portaːboː,
FUT:PL,portaːbimus,

terːeːre,IND,SUBJ
PRS:SG,terːeoː,terːream
PRS:PL,terːeːmus,terːeaːmus
PST.IPFV:SG,terːeːbam,terːeːrem
PST.IPFV:PL,terːeːbaːmus,terːeːreːmus
FUT:SG,terːeːboː,
FUT:PL,terːeːbimus,

petere,IND,SUBJ
PRS:SG,petoː,petam
PRS:PL,petimus,petaːmus
PST.IPFV:SG,peteːbam,peteːbar
PST.IPFV:PL,peteːbaːmus,peteːbaːmus
FUT:SG,petam,
FUT:PL,peteːmus,




